Event,ST,ET,Remark,Location,Category,Duration,Tag
"viaggio roma termini-napoli centrale, treno frecciarossa 9503, carr 1, posti 14d, pnr qh6fen,",2022-07-09 08:00:00+02:00,2022-07-09 09:13:00+02:00,"roma termini-napoli centrale;treno: frecciarossa 9503, partenza da roma termini ore: 08:00; arrivo a napoli centrale ore: 09:13 carrozza 1, posti 14d; codice pnr qh6fen",roma termini,broi,1.2166666666666666,
"viaggio napoli centrale-bologna centrale, treno frecciarossa 9662, carr 6, posti 2a, 2b, pnr ma4zbn,",2022-07-09 17:25:00+02:00,2022-07-09 20:53:00+02:00,"napoli centrale-bologna centrale;treno: frecciarossa 9662, partenza da napoli centrale ore: 17:25; arrivo a bologna centrale ore: 20:53 carrozza 6, posti 2a, posti 2b; codice pnr ma4zbn",napoli centrale,broi,3.466666666666667,
ð+live+-+introduction+to+rnns+|+tensorflow+and+keras+|+pyimagesearch,2022-07-15 15:30:00+02:00,2022-07-15 17:30:00+02:00,"an+introduction+to+recurrent+neural+networks+with+tensorflow+and+keras.+join+this+live+stream+to+get+an+exclusive+sneak+peek+at+an+upcoming+blog+post+covering+rnns+with+tensorflow+and+keras.

pssst.+with+this+tutorial+pyimagesearch+officially+ventures+into+natural+language+processing,+don't+tell+the+image+models.+ð¤«

join+the+youtube+live+here:
https://www.youtube.com/watch?v=laia7l0_cf8",nan,broi,2.0,
t.col ranieri riunione ho 09.30,2022-07-18 13:00:00+02:00,2022-07-18 14:00:00+02:00,nan,nan,broi,1.0,
osint command-line and python tools,2022-08-18 20:00:00+02:00,2022-08-18 20:30:00+02:00,nan,nan,broi,0.5,
osint command-line and python tools,2022-08-18 20:00:00+02:00,2022-08-18 21:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dn4s7fe1cuf3lmmtf9zzsyipctcap5cqxk",https://www.linkedin.com/events/osintcommand-lineandpythontools6958132130811895808,broi,1.0,
interruzione acqua per lavori hera dalle 0900,2022-09-22 08:00:00+02:00,2022-09-22 09:00:00+02:00,nan,nan,broi,1.0,
cifige machine learning su immagini e video,2022-09-27 12:00:00+02:00,2022-09-27 17:15:00+02:00,nan,nan,broi,5.25,
pulizia caldaia,2022-10-04 08:30:00+02:00,2022-10-04 09:30:00+02:00,none,nan,broi,1.0,
pulizia caldaia h immergas h 1630,2022-10-07 15:30:00+02:00,2022-10-07 16:30:00+02:00,nan,nan,broi,1.0,
open source intelligence: minacce o opportunità?,2022-10-14 15:00:00+02:00,2022-10-14 16:00:00+02:00,"in occasione del mese europeo della cyber security, proponiamo un webinar gratuito per approfondire l’open source intelligence, disciplina preziosa che si occupa della ricerca, raccolta e analisi di dati e di notizie d'interesse pubblico tratte da fonti libere. 

si parlerà di come la maggior parte degli strumenti e delle tecniche utilizzati per condurre iniziative di open source intelligence siano progettati per aiutare i professionisti e le aziende a concentrare i propri sforzi su aree di interesse specifiche. 

c'è però un lato oscuro: tutto ciò che può essere trovato e utilizzato dai professionisti della sicurezza può anche essere trovato e utilizzato per finalità improprie e addirittura illecite. 

vedremo come adottare una strategia chiara e consapevole per la raccolta di informazioni open source sia essenziale. 

 
evento destinato a professionisti e aziende del settore it. 


lo speaker sarà mirko lapi, esperto in intelligence e sicurezza delle informazioni, e marco ciampi interverrà come moderatore. 

 
organizzato da ithum con il patrocinio di clusit. 

 
durata: circa 30/40 minuti di speech 
circa 20/30 minuti per domande e discussione 


attestato di partecipazione finale ai richiedenti 


webinar accessibile in web-conference, previa iscrizione su eventbrite : https://www.eventbrite.it/e/biglietti-open-source-intelligence-minacce-o-opportunita-425071138217?keep_tld=1",nan,broi,1.0,
open source intelligence: minacce o opportunità?,2022-10-14 15:00:00+02:00,2022-10-14 16:00:00+02:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dpcs1q7_8v1kkoe7rh7ezmk8rqsnl-i-cw",https://www.linkedin.com/events/opensourceintelligence-minacceo6978618356274745344,broi,1.0,
intervento milano,2022-10-19 03:30:00+02:00,2022-10-19 04:30:00+02:00,none,nan,broi,1.0,
cambio gomme seat vale quattrini via larga h 1530,2022-10-25 14:00:00+02:00,2022-10-25 15:00:00+02:00,nan,nan,broi,1.0,
cartellino identificativo x ispezione,2022-11-14 07:00:00+01:00,2022-11-14 08:00:00+01:00,none,nan,broi,1.0,
i nombservizio con spataro,2022-11-16 06:30:00+01:00,2022-11-16 07:30:00+01:00,none,nan,broi,1.0,
reggio emilia h. 05.45,2022-11-17 03:30:00+01:00,2022-11-17 04:30:00+01:00,none,nan,broi,1.0,
nella mente del criminale: cosa spinge al reato?,2022-11-18 14:00:00+01:00,2022-11-19 20:00:00+01:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dnesfvx5cfac_pf_anhy02dtsbwu2umqzs",https://www.linkedin.com/events/nellamentedelcriminale-cosaspin6987703248916766720,broi,30.0,
nella mente del criminale: cosa spinge al reato?,2022-11-18 14:00:00+01:00,2022-11-19 20:00:00+01:00,"cosa si cela nella mente del criminale quando compie un reato?

venerdì 18 e sabato 19 novembre forensicnews, in collaborazione con il giornalista investigativo fabio sanvitale, organizza un webinar rivolto ad appassionati, studenti, criminologi, psicologi, forze dell’ordine, investigatori privati. un corso per capire, dagli omicidi seriali ai reati sessuali, le motivazioni dei colpevoli, insieme ai professionisti che ogni giorno vivono le indagini e i processi.

evento valido ai sensi del d.m. 269/2010, ai fini del rinnovo triennale della licenza di investigatori privati e informatori commerciali.

programma

venerdí 18 novembre
fabio delicato: gianfranco stevanin, analisi psico-criminologica 14-16
franco di nucci: il mio percorso, dal reato alla rinascita 16-18
fabio sanvitale: il serial killer dennis nilsen a parole sue 18-20
 

sabato 19 novembre
nicodemo gentile: a tu per tu con il colpevole 14-16
chiara ingrosso: il caso varani 16-18
laura volpini: uccidere il figlio. da annamaria franzoni ad alessia pifferi 18-20",nan,broi,30.0,
presenza qualificata,2022-11-21 08:00:00+01:00,2022-11-21 09:00:00+01:00,none,nan,broi,1.0,
tiri a sassuolo,2022-11-23 01:00:00+01:00,2022-11-24 01:00:00+01:00,nan,"sassuolo, 41049 sassuolo mo, italia",broi,24.0,
istruzione nos h.09.00,2022-11-23 09:30:00+01:00,2022-11-23 10:30:00+01:00,none,nan,broi,1.0,
analisi stile scrittura e profilazione sociolinguistica,2022-11-28 19:30:00+01:00,2022-11-28 20:00:00+01:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6doyo89d63qja1_rcib33htg8c2_w2n7bbc",https://www.linkedin.com/events/analisistilescritturaeprofilazi6982960050021535744,broi,0.5,
analisi stile scrittura e profilazione sociolinguistica,2022-11-28 19:30:00+01:00,2022-11-28 20:00:00+01:00,"nell’ambito della linguistica forense, l’analisi dello stile della scrittura rappresenta uno strumento molto potente in grado di far scoprire moltissime informazioni sull’autore dello scritto, sulla possibilità che questo possa essere attribuito a un determinato soggetto ecc.
attraverso lo studio degli scritti è possibile giungere a vere e proprie profilazioni sociolinguistiche mentre attraverso la comparazione degli elaborato è possibile individuare un autore tra più indiziati di un delitto.
ne parliamo con chiara meluzzi",nan,broi,0.5,
seconda rata ta.ri,2022-12-01 09:00:00+01:00,2022-12-01 10:00:00+01:00,nan,nan,broi,1.0,
hackinbo business edition winter 2022,2022-12-02 09:00:00+01:00,2022-12-02 17:00:00+01:00,torna il nuovo format per le aziende di hackinbo®,"fico eataly world, via paolo canali, 8, bologna, bo, it, 40127",broi,8.0,
hackinbo business edition winter 2022,2022-12-02 09:00:00+01:00,2022-12-02 17:00:00+01:00,"per visualizzare informazioni dettagliate sugli eventi creati automaticamente come questo, utilizza l'app google calendar ufficiale. https://g.co/calendar

questo evento è stato creato a partire da un'email che hai ricevuto in gmail. https://mail.google.com/mail?extsrc=cal&plid=acux6dpvmvitc-zv60xp7mla79f1n77nxl6-rve",https://www.linkedin.com/events/hackinbobusinesseditionwinter206973542625886781440,broi,8.0,
hackinbo bussiness,2022-12-02 11:00:00+01:00,2022-12-02 12:00:00+01:00,nan,nan,broi,1.0,
hackinbo,2022-12-03 11:00:00+01:00,2022-12-03 12:00:00+01:00,nan,nan,broi,1.0,
deft02 - open source intelligence (osint),2022-12-05 09:00:00+01:00,2022-12-05 17:00:00+01:00,"________________________________________________________________________________
riunione di microsoft teams
partecipa da computer o app per dispositivi mobili
fai clic qui per partecipare alla riunione<https://teams.microsoft.com/l/meetup-join/19%3ameeting_y2i2zjcznzytnwrhzc00ndu0ltk5mtktnwjmnjfiyzg2nmrh%40thread.v2/0?context=%7b%22tid%22%3a%225bd6336c-79a9-4f9b-b06c-c47a2a5dad10%22%2c%22oid%22%3a%22ee716cd0-5a6d-4765-bf51-c4b3fcf162a6%22%7d>
id riunione: 290 462 979 158
passcode: cqmbdx
scarica teams<https://www.microsoft.com/en-us/microsoft-teams/download-app> | partecipa sul web<https://www.microsoft.com/microsoft-teams/join-a-meeting>
[https://overneteducation.it/content/loghi/logo_overnet.png]
altre informazioni<https://aka.ms/jointeamsmeeting> | guida<https://overneteducation.it/home/contatti> | opzioni riunione<https://teams.microsoft.com/meetingoptions/?organizerid=ee716cd0-5a6d-4765-bf51-c4b3fcf162a6&tenantid=5bd6336c-79a9-4f9b-b06c-c47a2a5dad10&threadid=19_meeting_y2i2zjcznzytnwrhzc00ndu0ltk5mtktnwjmnjfiyzg2nmrh@thread.v2&messageid=0&language=it-it> | note legali<https://overneteducation.it/>
________________________________________________________________________________",riunione di microsoft teams,broi,8.0,
deft02 - open source intelligence (osint) - poste italiane id piano 348858 id azione 2984302,2023-01-25 09:00:00+01:00,2023-01-25 17:00:00+01:00,"________________________________________________________________________________
riunione di microsoft teams
partecipa da computer, app per dispositivi mobili o dispositivo della stanza
fai clic qui per partecipare alla riunione<https://teams.microsoft.com/l/meetup-join/19%3ameeting_mwy2zjq1mwqtmdu1mc00yjixltlhnjatzmrlythkn2rmogy0%40thread.v2/0?context=%7b%22tid%22%3a%225bd6336c-79a9-4f9b-b06c-c47a2a5dad10%22%2c%22oid%22%3a%22ee716cd0-5a6d-4765-bf51-c4b3fcf162a6%22%7d>
id riunione: 337 974 195 17
passcode: cuhr2w
scarica teams<https://www.microsoft.com/en-us/microsoft-teams/download-app> | partecipa sul web<https://www.microsoft.com/microsoft-teams/join-a-meeting>
[https://overneteducation.it/content/loghi/logo_overnet.png]
altre informazioni<https://aka.ms/jointeamsmeeting> | guida<https://overneteducation.it/home/contatti> | opzioni riunione<https://teams.microsoft.com/meetingoptions/?organizerid=ee716cd0-5a6d-4765-bf51-c4b3fcf162a6&tenantid=5bd6336c-79a9-4f9b-b06c-c47a2a5dad10&threadid=19_meeting_mwy2zjq1mwqtmdu1mc00yjixltlhnjatzmrlythkn2rmogy0@thread.v2&messageid=0&language=it-it> | note legali<https://overneteducation.it/>
________________________________________________________________________________",riunione di microsoft teams,broi,8.0,
chiesa di san benedetto via indipendenza,2023-02-18 01:00:00+01:00,2023-02-19 01:00:00+01:00,nan,nan,broi,24.0,
intervento first responfer,2023-02-23 07:00:00+01:00,2023-02-23 08:00:00+01:00,nan,nan,broi,1.0,
cisl san lazzaro domanda pensione dott.ssa serra,2023-03-11 08:00:00+01:00,2023-03-11 09:00:00+01:00,nan,nan,broi,1.0,
